City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,vanatori-neamt,47.2,26.3167,46.98,85,100,6.89,RO,1681190796
341,kathmandu,27.7167,85.3167,79.02,34,20,4.0,NP,1681190796
342,panaba,21.2833,-88.2667,72.23,87,80,5.61,MX,1681190199
343,toccoa,34.5773,-83.3324,47.77,74,0,0.0,US,1681190541
344,ekhabi,53.5102,142.9671,33.1,47,4,5.77,RU,1681190797
345,pervomayskiy,53.2485,40.2871,48.2,51,6,3.98,RU,1681190797
346,aksu,41.1231,80.2644,65.01,18,91,4.85,CN,1681190653
347,nago,26.5881,127.9761,77.43,63,17,2.24,JP,1681190797
348,yugo-kamskiy,57.7053,55.5894,35.62,51,29,5.01,RU,1681190797
349,krasnovka,48.8177,40.0923,50.02,53,100,15.08,RU,1681190798
350,oistins,13.0667,-59.5333,78.89,69,40,18.41,BB,1681190798
351,visby,57.6409,18.296,41.83,87,0,14.97,SE,1681190798
352,luderitz,-26.6481,15.1594,59.36,42,35,7.0,NA,1681190798
353,rudiskes,54.5167,24.8333,48.02,83,46,5.39,LT,1681190798
354,biak,-0.9131,122.8766,83.7,72,26,2.21,ID,1681190799
355,haapiti,-17.5667,-149.8667,82.13,75,98,7.85,PF,1681190799
356,bahadurgarh,28.6833,76.9167,87.91,11,61,6.87,IN,1681190799
357,kichera,55.9375,110.0997,20.46,70,14,6.35,RU,1681190799
358,musoma,-1.5,33.8,69.3,79,99,6.2,TZ,1681190799
359,rivne,50.6231,26.2274,42.31,86,51,5.84,UA,1681190800
360,half moon bay,37.4636,-122.4286,57.9,90,100,9.22,US,1681190513
361,ust-kulom,61.6864,53.6902,33.51,91,100,10.31,RU,1681190800
